id,contract_id,commitment_type,number,value,budget_code,date,is_addition
83630f39-b890-4b94-bce2-556cff047a61,b9b7dc4e-854d-40e4-bcd6-1d408438ba19,CDP,2022-023,223888395.0,2.5.5.02.09.01.01.04.02,2022-01-18,False
eb3cd0f7-828e-44aa-b55a-94bf59b5ef33,b9b7dc4e-854d-40e4-bcd6-1d408438ba19,CRP,2022-082,223888395.0,2.5.5.02.09.01.01.04.02,2022-05-17,False
7f52162d-c648-47e1-840c-22e885b0f5a3,2caf40a5-6a15-4bdd-97dc-fd6ce72e88ed,CDP,2022-075,5600000.0,2.1.2.02.02.008.07,2022-04-25,False
a71f59db-3403-4aa3-b51c-2002f8fb846a,2caf40a5-6a15-4bdd-97dc-fd6ce72e88ed,CRP,2022-094,5600000.0,2.1.2.02.02.008.07,2022-01-03,False
b9c273cf-35f5-4b63-9468-c8f2118c9868,810e24af-e8b8-4571-aeeb-2bfd0303b0f3,CDP,2022-054,1387796813.0,2.5.5.02.09.01.02.01.04,2022-02-18,False
318fab1a-e1ff-4b65-b934-721f62f53c29,810e24af-e8b8-4571-aeeb-2bfd0303b0f3,CRP,2022-084,1387796813.0,2.5.5.02.09.01.02.01.04,2022-05-26,False
2226e6d2-3ddb-40db-9ed6-2c936b8a093f,cba7f007-582e-47a9-b5c1-19ffde70c967,CDP,2022-079,1610978181.79,2.3.2.02.02.008,2022-05-16,False
2fddb95b-4876-4e80-9656-6d98bcc156e3,cba7f007-582e-47a9-b5c1-19ffde70c967,CRP,2022-093,1610978181.79,2.3.2.02.02.008,2022-06-15,False
ee7db37e-f447-4b95-8c58-550eb37eb477,f0faef4a-87ed-49f7-a897-74f325af0c52,CDP,2022-095,3240138232.02,2.3.2.02.02.005,2022-06-28,False
061fa3a9-ab01-4aab-8c9a-bf1eae0b0723,f0faef4a-87ed-49f7-a897-74f325af0c52,CRP,2022-103,3240138232.02,2.3.2.02.02.005,2022-07-14,False
bf0ffeb0-23d3-4709-ac85-12f987258e68,78a62c70-0d2a-47ba-aef7-181291a6f647,CDP,RES-2022000202,12100000.0,2.1.2.02.02.008.01,2022-12-21,False
218f437a-57bb-4f11-8e1f-0d2834638271,78a62c70-0d2a-47ba-aef7-181291a6f647,CRP,2022-102,12100000.0,2.1.2.02.02.008.01,2022-07-13,False
652222f2-25db-4282-a31b-9b30924c71ed,1469560d-475b-42cf-b4c3-26203d64fb65,CDP,2022-102,30000000.0,2.5.5.02.08.06,2022-07-19,False
15e07bae-c0d6-42d4-b87d-0ed6b7bd63f7,1469560d-475b-42cf-b4c3-26203d64fb65,CRP,2022-106,30000000.0,2.5.5.02.08.06,2022-07-22,False
a975d753-bc54-4e28-b3d3-d838b7f58a26,484e2244-89ea-41cf-8514-01522479966d,CDP,2022-101,23000000.0,2.5.5.02.08.06,2022-07-19,False
5ea05b90-5fb8-4560-b3c0-e08fc41bba97,484e2244-89ea-41cf-8514-01522479966d,CRP,2022-107,23000000.0,2.5.5.02.08.06,2022-07-26,False
df0d0ded-8ab2-4cc9-acfb-13b1f2351c80,f9e4c172-7f66-4971-a9e6-a3469c0c951b,CDP,2022-107,35700000.0,2.1.2.02.02.008.08,2022-07-19,False
16e6a594-8f68-4dcb-8596-f41b0a1eb055,f9e4c172-7f66-4971-a9e6-a3469c0c951b,CRP,2022-113,35700000.0,2.1.2.02.02.008.08,2022-07-28,False
3ccf64ec-ac30-4751-b94b-9588ba6754a0,b258142d-bf05-471b-996d-d7ce2b8d5baf,CDP,2022-106,25000000.0,2.1.2.02.02.008.02,2022-07-19,False
811daadf-8124-4dfa-bbf8-980f1d921fff,b258142d-bf05-471b-996d-d7ce2b8d5baf,CRP,2022-110,25000000.0,2.1.2.02.02.008.02,2022-07-28,False
d3229180-a59e-4102-8fb0-3440635920cd,9fc0b390-756f-4ca3-94d7-6051b45652eb,CDP,2022-105,28500000.0,2.1.2.02.02.008.08,2022-07-19,False
3adcdc9b-9142-470b-a714-ec635001b744,9fc0b390-756f-4ca3-94d7-6051b45652eb,CRP,2022-112,28500000.0,2.1.2.02.02.008.08,2022-07-28,False
427ed9b6-c2df-4f09-b3d6-e952b4b2e595,fd5ef477-cb3c-4eab-bb72-e0f244d4cff4,CDP,2022-103,22500000.0,2.5.5.02.08.06,2022-07-19,False
5459d2e4-5847-4fba-a222-994444b3cc7c,fd5ef477-cb3c-4eab-bb72-e0f244d4cff4,CRP,2022-109,22500000.0,2.5.5.02.08.06,2022-07-28,False
86696833-3fa3-4d01-b947-6bc022f60398,131513fc-cb13-46b1-9904-740cb860880a,CDP,2022-110,22500000.0,2.1.2.02.02.008.01,2022-07-19,False
95891195-bed0-41b1-9b2c-70f8fdccefd6,131513fc-cb13-46b1-9904-740cb860880a,CRP,2022-119,22500000.0,2.1.2.02.02.008.01,2022-08-08,False
cd0fa524-5604-480a-9f63-27515b22f8dd,a44cb0ce-9464-4be9-9680-6ac053b8165b,CDP,2022-111,27500000.0,2.5.5.02.08.06,2022-07-19,False
c725a39b-06a7-41dc-bf0b-3dff48ed48ac,a44cb0ce-9464-4be9-9680-6ac053b8165b,CRP,2022-108,27500000.0,2.5.5.02.08.06,2022-07-28,False
7fb59c39-457d-4974-bd93-7a140cf0496d,e4da027f-1c97-4aa2-ba6c-e925b60eb092,CDP,2022-112,12100000.0,2.1.2.02.02.008.09,2022-07-19,False
635f8b17-e2fa-47f1-b5ef-b9cad9aa6fb2,e4da027f-1c97-4aa2-ba6c-e925b60eb092,CRP,2022-124,12100000.0,2.1.2.02.02.008.09,2022-08-09,False
4bbf0ddb-3267-40e1-b481-a683d1ca87eb,b377a312-6e58-44ec-8b41-e1a7f546cce6,CDP,2022-104,34251378.0,2.5.5.02.08.06,2022-07-19,False
faa7bee4-f540-4e6e-a2ca-afb80829d359,b377a312-6e58-44ec-8b41-e1a7f546cce6,CRP,2022-118,34251378.0,2.5.5.02.08.06,2022-08-01,False
c457a817-ab78-4844-b711-e553935e6b55,5e876b82-b98c-45c8-8e06-d2886600db53,CDP,2022-092,2088626463.0,2.3.2.02.02.005,2022-06-23,False
11fda11d-a017-4131-960d-f8cca4aac268,5e876b82-b98c-45c8-8e06-d2886600db53,CRP,2022-121,2088626463.0,2.3.2.02.02.005,2022-08-05,False
39469396-f6ee-4236-b39f-dd1bcc366419,fe5c1efb-1f72-4284-a586-d449fb968118,CDP,2022-113,51616666.0,2.1.2.02.02.007.01,2022-07-19,False
0472da29-bbc1-4c55-bceb-10e94dcc142e,fe5c1efb-1f72-4284-a586-d449fb968118,CRP,2022-120,51616666.0,2.1.2.02.02.007.01,2022-08-03,False
787bc393-4f13-4d04-8749-a007d2535c6a,bf793716-5e27-4505-a807-b49fee5010fa,CDP,2022-124,4000000.0,2.5.5.02.08.06,2022-12-31,False
8c6ae028-6863-4e3a-975c-905b94d23634,bf793716-5e27-4505-a807-b49fee5010fa,CRP,2022-130,4000000.0,2.5.5.02.08.06,2022-08-25,False
c6b64df3-daa1-43df-bb59-62ba118ac4a0,aa97b31d-4d9c-4734-a3e6-46d3ca962512,CDP,2022-125,30000000.0,2.1.2.02.02.008.08,2022-08-17,False
9ffa2988-fc85-4a0f-89eb-a51cee92c930,aa97b31d-4d9c-4734-a3e6-46d3ca962512,CRP,2022-125,30000000.0,2.1.2.02.02.008.08,2022-08-17,False
aff7b038-1b2b-497c-92aa-58873204ca08,2dff174e-40f6-4fe5-85b1-a7bd4c45667a,CDP,2022-131,21280000.0,2.1.2.02.02.008.01,2022-09-07,False
073e5a79-9a88-4d62-89af-a1579c8e6212,2dff174e-40f6-4fe5-85b1-a7bd4c45667a,CRP,2022-137,21280000.0,2.1.2.02.02.008.01,2022-09-09,False
67901776-cf72-44a1-8fb7-304c91c865a2,b2c78cff-c35f-4645-b0a6-29489aecd1ff,CDP,2022-126,53917115.0,2.3.2.02.02.005,2022-08-29,False
1721f7d8-bb37-4ef9-9872-249566231647,b2c78cff-c35f-4645-b0a6-29489aecd1ff,CRP,2022-142,53917115.0,2.3.2.02.02.005,2022-09-28,False
7b8af084-0981-403e-9fc8-fed318a93756,f95c6b69-5ac9-4e7c-9791-b8bfde0b9e7b,CDP,2022-139,98186000.0,2.3.2.02.02.005,2022-10-04,False
93978a7d-7afb-4008-be51-2463211deadb,f95c6b69-5ac9-4e7c-9791-b8bfde0b9e7b,CRP,RES-2022000150,98186000.0,2.3.2.02.02.005,2022-10-21,False
02c35929-0aff-4323-8218-e3df6a499bc4,6bd37f2a-67b7-4d91-bcf9-dda8f3f16c0a,CDP,DIS-2022000155,12000000.0,2.1.2.02.02.008.08,2022-10-20,False
9a765f18-8d74-4ab5-88b9-385184164513,6bd37f2a-67b7-4d91-bcf9-dda8f3f16c0a,CRP,RES-2022000157,12000000.0,2.1.2.02.02.008.08,2022-10-25,False
aa4a44c9-aa84-406b-a51f-4cac64a3b6a0,0ed9fcf3-0923-475f-b98e-7549e5661aa7,CDP,DIS-2022000156,55669614.0,2.1.2.02.02.008.08,2022-10-20,False
e552bc34-6bbe-4422-910c-d867b1f292ac,0ed9fcf3-0923-475f-b98e-7549e5661aa7,CRP,RES-2022000158,55669614.0,2.1.2.02.02.008.08,2022-10-26,False
c2604d0a-4026-4268-878e-266f91c96106,2e442fea-313f-492b-9f43-e82ca72b0a8f,CDP,2022-152,32978393.7,2.3.2.02.02.005,2022-10-13,False
d2facb88-0933-4703-8996-3079dce00aed,2e442fea-313f-492b-9f43-e82ca72b0a8f,CRP,RES-2022000151,32978393.7,2.3.2.02.02.005,2022-10-25,False
2aa35dd4-a6c5-4d44-96a9-ba1d13d47a62,78ec7138-4f03-4800-8204-c92a7e9d14f2,CDP,DIS-2022000161,8000000.0,2.1.2.02.02.008.08,2022-10-25,False
d2eb2b83-0c45-41aa-95bc-d9a630ffbb1a,78ec7138-4f03-4800-8204-c92a7e9d14f2,CRP,RES-2022000177,8000000.0,2.1.2.02.02.008.08,2022-11-09,False
d1ec9499-39c4-4255-8028-9d9ab1fbc97b,197ee34a-1bf2-458b-a7a3-db5e35c7b8e4,CDP,DIS-2022000153,30069567.0,2.3.2.02.02.005,2022-10-14,False
05b0f7ab-cc6f-43e5-9d45-70e37ae4ba0b,197ee34a-1bf2-458b-a7a3-db5e35c7b8e4,CRP,RES-2022000172,30069567.0,2.3.2.02.02.005,2022-11-03,False
7166c983-a6c8-4a90-b202-a620c1b9cd2a,110ae1d2-4fc4-445c-af95-7b1a705c8ae5,CDP,DIS-2022000164,56743841.0,2.1.2.01.01.003.04.06,2022-10-27,False
8e1fc9dd-e666-4024-a7f8-27650509717a,110ae1d2-4fc4-445c-af95-7b1a705c8ae5,CRP,RES-2022000182,56743841.0,2.1.2.01.01.003.04.06,2022-11-18,False
a436bd60-114c-420c-98bb-12fa37b392c1,500285d3-cda0-4e39-8488-c09eeea244ef,CDP,DIS-2022000154,203155948.0,2.1.2.02.02.007,2022-10-14,False
b16ce17b-ec9b-4d26-99b1-5f9337d42154,500285d3-cda0-4e39-8488-c09eeea244ef,CRP,RES-2022000181,203155948.0,2.1.2.02.02.007,2022-11-17,False
3a6c1909-69cb-4e44-ab6f-9c2bee3486bb,80b8d2e5-a2b6-4281-a4fd-80603ce2c728,CDP,DIS-2022000186,10666667.0,N/A,2022-11-18,False
c4e3dfe6-5d10-403d-8601-407e0b3ffc2c,80b8d2e5-a2b6-4281-a4fd-80603ce2c728,CRP,RES-2022000184,10666667.0,N/A,2022-11-22,False
66cdd915-86e9-461e-8d6b-cd188d98aefa,d911b956-0175-43f1-9b34-cb843b69eead,CDP,DIS-2022000191,10000000.0,2.1.2.02.02.008,2022-11-24,False
7183cff9-67c8-41af-8b2d-5a656aa83dbb,d911b956-0175-43f1-9b34-cb843b69eead,CRP,RES-2022000196,10000000.0,2.1.2.02.02.008,2022-12-09,False
0f826ece-20cf-42c2-b665-216a61c709fb,f1ca3dd6-77a6-4e1b-8d53-1560650a1daa,CDP,DIS-2022000196,29591760.0,2.1.2.02.02.008,2022-12-02,False
5a73b55a-4b2b-4037-912f-3678644d166c,f1ca3dd6-77a6-4e1b-8d53-1560650a1daa,CRP,RES-2022000198,29591760.0,2.1.2.02.02.008,2022-12-13,False
e93d0bc3-9fcf-4c83-9bb4-1966266b1fc0,d35e49b9-4c8f-4557-8d4f-86e42e7debca,CDP,DIS-2022000201,8000000.0,2.1.2.02.02.008,2022-12-12,False
31dbd905-e423-4df1-830d-64cb4eaca332,d35e49b9-4c8f-4557-8d4f-86e42e7debca,CRP,RES-2022000199,8000000.0,2.1.2.02.02.008,2022-12-14,False
f419b5bc-5900-4fcc-95e0-b39a6a617eea,fd22ab57-f49b-49ca-935c-ef31fe88acb0,CDP,DIS-2022000195,6250000.0,2.5.5.02.08.06,2022-12-02,False
a05d3619-872e-4a78-9ca4-d95def770f70,fd22ab57-f49b-49ca-935c-ef31fe88acb0,CRP,RES-2022000200,6250000.0,2.5.5.02.08.06,2022-12-15,False
38f0cfe8-0233-47ae-b021-41656338bd86,5b60834e-09bd-4206-a3d0-fc442423b4a1,CDP,DIS-2022000202,2833333.33,2.1.2.02.02.008,2022-12-14,False
651a1cef-0382-4930-b4c9-4f5c0949d2f9,5b60834e-09bd-4206-a3d0-fc442423b4a1,CRP,RES-2022000201,2833333.33,2.1.2.02.02.008,2022-12-15,False
bf9c454c-afa9-440c-b300-6a80426fb146,b4bdd070-9479-4e05-b301-222d743a2de0,CDP,DIS-2022000200,41697421.5,2.1.2.02.02.005,2022-12-12,False
6d2fe158-ddf4-4e35-9d75-7be6b0df8f10,b4bdd070-9479-4e05-b301-222d743a2de0,CRP,RES-2022000203,41697421.5,2.1.2.02.02.005,2022-12-23,False
027a1969-5a6e-4357-8e4e-72cf028eb566,16eeeb6d-3477-46a7-a01b-24c1a9696c4a,CDP,2022000205.0,4820635.0,2.1.1.01.03.020,2022-12-22,False
e879f088-bf14-4543-93db-a5d450ea5795,16eeeb6d-3477-46a7-a01b-24c1a9696c4a,CRP,RES-2022000205,4820635.0,2.1.1.01.03.020,2022-12-22,False
1aa7d1d4-31d9-4081-9f46-45464a82942f,5c976436-8db1-4da7-8c4b-199836912559,CDP,DIS-2023000002,125400000.0,2.1.2.02.02.007,2023-02-13,False
