id,contract_id,extension_number,extension_term_text,extension_term_days,extension_date,new_end_date
8448f972-f75c-491a-9ed6-1bf1ffae5d92,3f3ed696-3846-4962-82de-a0a5a707bdaf,4,8 DIAS,8.0,,
a25c470d-71c3-4707-b0a6-09588e1745ce,708011c8-092b-4072-899d-5b87a211e884,1,1 MES,30.0,,
fa0598ba-d834-4c2d-8a6f-e83cac2b9110,708011c8-092b-4072-899d-5b87a211e884,2,10 MESES Y 2 DÍAS,302.0,,
1fe06bc9-c358-4164-96c8-4349141f5bc6,f5d172cf-90f1-4eb6-a4b0-76495386594f,1,TRES (3) MESES,,,
67778a90-5549-4f76-a4dd-b32591943a87,3c6da88f-f633-48c8-8bac-f8598a7a86d1,1,UN (1) MES Y UN(1) DÍA,,,
df2fd5f8-539e-41fc-bff9-7e1354acfa74,3c6da88f-f633-48c8-8bac-f8598a7a86d1,2,TRES(3) MESES,,,
fe4f8c32-a58c-4eef-95a1-d019b54b9f76,aea64dcd-0c2c-4571-a2ec-df6f03902987,1,CUATRO (4) MESES,,,
7822171d-99b5-47ee-a3c8-e51d79ffb1b6,aea64dcd-0c2c-4571-a2ec-df6f03902987,2,CUATRO (4) MESES,,,
2f055de5-3abc-4049-9db0-1140c62dfcc8,aea64dcd-0c2c-4571-a2ec-df6f03902987,3,UN (1) MES,,,
968a224e-3488-4d59-a712-7e850f9baa50,aea64dcd-0c2c-4571-a2ec-df6f03902987,4,UN (1) MES,,,
ff84e6b4-404a-4229-8ab0-d485b9b72bc1,aea64dcd-0c2c-4571-a2ec-df6f03902987,5,UN (1) MES,,,
c0a695c7-0093-42fa-aba9-e1a72ffb7c89,aea64dcd-0c2c-4571-a2ec-df6f03902987,6,UN (1) MES,,,
11874275-43ea-4c1e-b6f8-ba1e719afea9,fd958d0b-a572-436e-a380-39b3cd8fb257,1,CUATRO (4) MESES,,,
cd79e02c-c718-4127-82f1-bbce850c9950,fd958d0b-a572-436e-a380-39b3cd8fb257,2,CUATRO (4) MESES,,,
61bd3b18-4003-42cd-87d4-1e39c194c8e9,fd958d0b-a572-436e-a380-39b3cd8fb257,3,UN (1) MES,,,
dadd0013-c03d-4d91-8fe5-f9d8c2474dd9,fd958d0b-a572-436e-a380-39b3cd8fb257,4,UN (1) MES,,,
6c68964a-af83-4be0-9447-ef38e7bf09b5,14c7e6ca-7804-47ed-beb7-be3a35979ff2,1,UN (1) MES Y VEINTIUN (21) DÍAS,,,
